epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.111,1.80731,3.3887,0.95086,0.01031,0.06269,0.03767,0.00951,1.76094,3.88115,0.89941,0.000225,0.000225,0.000225
2,323.441,1.58519,1.54296,0.89568,0.0369,0.22378,0.18881,0.0923,1.51109,3.03547,0.87236,0.000453342,0.000453342,0.000453342
3,474.453,1.49042,1.30815,0.87822,0.45784,0.18345,0.21115,0.10545,1.57757,2.24756,0.8686,0.00067228,0.00067228,0.00067228
4,621.286,1.42694,1.20131,0.86568,0.96706,0.17831,0.22612,0.12612,1.41197,1.87633,0.86917,0.000881812,0.000881812,0.000881812
5,772.571,1.3942,1.14846,0.86698,0.78069,0.20827,0.23892,0.12342,1.52234,1.76207,0.86277,0.00108194,0.00108194,0.00108194
6,905.222,1.49934,1.17131,0.8767,0.74598,0.23382,0.2317,0.10452,1.54667,1.49796,0.87155,0.00112625,0.00112625,0.00112625
7,1027.12,1.50049,1.19085,0.8724,0.76905,0.23849,0.25358,0.15395,1.32481,1.18645,0.86508,0.0011015,0.0011015,0.0011015
8,1154.9,1.40727,1.12258,0.86014,0.84945,0.26177,0.28188,0.16691,1.26565,1.16508,0.85531,0.00107675,0.00107675,0.00107675
9,1279.98,1.30517,1.04249,0.85871,0.79288,0.26501,0.2907,0.18359,1.1734,0.97799,0.84464,0.001052,0.001052,0.001052
10,1500.53,1.32973,1.02212,0.85773,0.86458,0.26391,0.31533,0.18532,1.31093,1.01385,0.8507,0.00102725,0.00102725,0.00102725
11,1623.52,1.26498,0.97673,0.85272,0.78351,0.30183,0.33882,0.20742,1.21343,0.96345,0.84326,0.0010025,0.0010025,0.0010025
12,1747.91,1.2892,0.96417,0.84335,0.63418,0.34081,0.37433,0.23056,1.14619,0.96525,0.84226,0.00097775,0.00097775,0.00097775
13,1871.73,1.28052,0.91653,0.84446,0.69792,0.36462,0.41115,0.25204,1.18773,0.87206,0.84231,0.000953,0.000953,0.000953
14,1996.37,1.26448,0.89192,0.84611,0.724,0.40742,0.44772,0.25939,1.19997,0.91664,0.84172,0.00092825,0.00092825,0.00092825
15,2120.76,1.25059,0.88121,0.84764,0.8042,0.43578,0.49542,0.2885,1.1549,0.86066,0.8405,0.0009035,0.0009035,0.0009035
16,2244.28,1.21576,0.83768,0.84274,0.76205,0.51536,0.54585,0.31866,1.14431,0.81311,0.84054,0.00087875,0.00087875,0.00087875
17,2367.27,1.22794,0.83132,0.83631,0.81881,0.54064,0.57968,0.3429,1.12041,0.80227,0.83723,0.000854,0.000854,0.000854
18,2490.23,1.21094,0.81445,0.83788,0.7912,0.53408,0.58152,0.36029,1.06745,0.75782,0.83316,0.00082925,0.00082925,0.00082925
19,2613.14,1.15652,0.79212,0.84294,0.79992,0.53727,0.62525,0.38054,1.07539,0.71059,0.83396,0.0008045,0.0008045,0.0008045
20,2740.2,1.17315,0.76376,0.83243,0.82341,0.534,0.60115,0.36302,1.07141,0.75003,0.83251,0.00077975,0.00077975,0.00077975
21,2867.14,1.15983,0.75936,0.83804,0.78116,0.57091,0.62838,0.37973,1.07279,0.7197,0.83523,0.000755,0.000755,0.000755
22,2993.24,1.13663,0.74642,0.83354,0.85911,0.55477,0.59463,0.3671,1.04382,0.71699,0.83229,0.00073025,0.00073025,0.00073025
23,3120.95,1.17817,0.74731,0.83149,0.83825,0.51953,0.63276,0.37393,1.07287,0.70563,0.83613,0.0007055,0.0007055,0.0007055
24,3246.17,1.22715,0.75491,0.83729,0.85762,0.55183,0.65147,0.38524,1.10088,0.6918,0.83438,0.00068075,0.00068075,0.00068075
25,3373.35,1.16968,0.73514,0.83648,0.89385,0.53056,0.65915,0.40387,1.04807,0.67748,0.83386,0.000656,0.000656,0.000656
26,3498.53,1.1259,0.6965,0.83338,0.87624,0.58086,0.6823,0.40607,1.04718,0.6569,0.83329,0.00063125,0.00063125,0.00063125
27,3622.83,1.14709,0.70111,0.82817,0.88259,0.5893,0.68116,0.41498,1.01073,0.64282,0.83018,0.0006065,0.0006065,0.0006065
28,3747.85,1.11881,0.69775,0.832,0.8906,0.57945,0.67966,0.41935,1.02155,0.64665,0.82736,0.00058175,0.00058175,0.00058175
29,3871.97,1.17329,0.69545,0.82676,0.88288,0.57069,0.66688,0.39882,1.0741,0.6377,0.82815,0.000557,0.000557,0.000557
30,3996.43,1.10999,0.6831,0.83158,0.88852,0.56305,0.69581,0.42944,1.02733,0.64781,0.82909,0.00053225,0.00053225,0.00053225
31,4123.07,1.11776,0.68148,0.82719,0.90225,0.55947,0.68995,0.42909,0.99761,0.6158,0.82574,0.0005075,0.0005075,0.0005075
32,4251.63,1.15623,0.68789,0.8282,0.86691,0.59312,0.71958,0.43477,1.04698,0.6329,0.829,0.00048275,0.00048275,0.00048275
33,4378.32,1.118,0.67277,0.82801,0.82426,0.60083,0.6943,0.42186,1.03824,0.6401,0.83035,0.000458,0.000458,0.000458
34,4504.09,1.05954,0.64441,0.82901,0.85139,0.60884,0.70341,0.43053,0.99735,0.60496,0.82485,0.00043325,0.00043325,0.00043325
35,4629.45,1.07386,0.63834,0.82524,0.86223,0.60704,0.70933,0.44093,0.97327,0.61043,0.82493,0.0004085,0.0004085,0.0004085
36,4756.04,1.0977,0.64769,0.82287,0.868,0.57558,0.68949,0.42546,1.00384,0.61768,0.82632,0.00038375,0.00038375,0.00038375
37,4881.55,1.08236,0.64097,0.82384,0.85923,0.59398,0.69334,0.42787,0.99515,0.63187,0.82484,0.000359,0.000359,0.000359
38,5010.93,1.07681,0.62786,0.82128,0.87778,0.61108,0.71293,0.4482,0.96618,0.58369,0.82164,0.00033425,0.00033425,0.00033425
39,5136.07,1.07829,0.62423,0.81839,0.91087,0.59658,0.71361,0.44054,0.98743,0.58273,0.82353,0.0003095,0.0003095,0.0003095
40,5261.66,1.0645,0.62065,0.82011,0.88417,0.59409,0.71426,0.44315,0.98103,0.58135,0.82505,0.00028475,0.00028475,0.00028475
41,5387.36,0.96437,0.58858,0.82468,0.83108,0.63483,0.71658,0.44999,0.95901,0.57432,0.82445,0.00026,0.00026,0.00026
42,5515.9,0.94085,0.58053,0.82703,0.86156,0.62323,0.71612,0.44993,0.95916,0.57679,0.82373,0.00023525,0.00023525,0.00023525
43,5640.46,0.95267,0.5773,0.81928,0.85269,0.64361,0.71063,0.44523,0.96802,0.58505,0.82199,0.0002105,0.0002105,0.0002105
44,5766.57,0.95442,0.58086,0.82296,0.84883,0.6347,0.70627,0.44206,0.96885,0.5893,0.82389,0.00018575,0.00018575,0.00018575
45,5891.2,0.96207,0.5746,0.82133,0.86459,0.63647,0.70679,0.44747,0.9502,0.57513,0.82257,0.000161,0.000161,0.000161
46,6014.08,0.94232,0.57334,0.81875,0.87942,0.63459,0.71781,0.45275,0.95515,0.56798,0.82204,0.00013625,0.00013625,0.00013625
47,6140.48,0.93106,0.56143,0.81775,0.90519,0.63844,0.73147,0.46147,0.93927,0.55952,0.82006,0.0001115,0.0001115,0.0001115
48,6262.46,0.92316,0.55559,0.81421,0.89533,0.64362,0.731,0.46362,0.95183,0.56312,0.82131,8.675e-05,8.675e-05,8.675e-05
49,6383.3,0.90897,0.55026,0.81748,0.80837,0.66974,0.73375,0.46914,0.93477,0.55032,0.81959,6.2e-05,6.2e-05,6.2e-05
50,6503.85,0.91701,0.5448,0.81602,0.80803,0.67815,0.73481,0.46688,0.93378,0.54901,0.81977,3.725e-05,3.725e-05,3.725e-05
